Name,Type,Home folder,Interested
Acorn Archimedes,Computer,ARCHIE,
Acorn Atom,Computer,AcornAtom,
Acorn Electron,Computer,AcornElectron,
Alice MC10,Computer,AliceMC10,
Altair 8800,Computer,Altair8800,
Amstrad CPC 6128,Computer,Amstrad,True
Amstrad PCW,Computer,Amstrad PCW,
ao486 (PC 486),Computer,AO486,
Apogee,Computer,APOGEE,
Apple I,Computer,APPLE-I,
Apple II+,Computer,Apple-II,
Apple Macintosh Plus,Computer,MACPLUS,
Atari 800XL,Computer,ATARI800,
Atari ST/STe,Computer,AtariST,True
Bandai RX-78,Computer,RX78,
"BBC Micro B, Master",Computer,BBCMicro,True
"Camputers Lynx 48k, 96k",Computer,Lynx48,
Casio PV-2000,Computer,Casio_PV-2000,
Coleco Adam,Computer,Adam,
"Color Computer 2, Dragon 32",Computer,CoCo2,
Color Computer 3,Computer,COCO3,
Colour Genie EG2000,Computer,eg2000,
Commodore 16,Computer,C16,
Commodore Plus/4,Computer,C16,
Commodore 64,Computer,C64,
Commodore Ultimax,Computer,C64,
Commodore 128,Computer,C128,
Commodore Amiga,Computer,Amiga,
Commodore PET,Computer,PET2001,
Commodore VIC-20,Computer,VIC20,
Compukit UK101,Computer,UK101,
DEC PDP-1,Computer,PDP1,
EDSAC,Computer,EDSAC,
Electronika BK0011M,Computer,BK0011M,
Galaksija,Computer,Galaksija,
Homelab KIT,Computer,Homelab,
IBM PC/XT,Computer,PCXT,
Interact Home Computer,Computer,Interact,
Jupiter Ace,Computer,Jupiter,
Mattel Aquarius,Computer,AQUARIUS,
MSX1,Computer,MSX1,
MSX,Computer,MSX,
MultiComp,Computer,MultiComp,
NEC PC-8801,Computer,PC8801,
PMD 85,Computer,PMD85,
Ondra SPO 186,Computer,Ondra_SPO186,
Orao,Computer,ORAO,
Oric-1,Computer,Oric,
Oric Atmos,Computer,Oric,
SAM Coupé,Computer,SAMCOUPE,
Sharp MZ,Computer,SharpMZ,
Sharp X68000,Computer,X68000,
Sinclair QL,Computer,QL,
Sord M5,Computer,Sord M5,
Specialist/MX,Computer,SPMX,
Spectravideo SV-328,Computer,SVI328,
Tatung Einstein TC-01,Computer,TatungEinstein,
TI-99/4A,Computer,TI-99_4A,
Tomy Tutor,Computer,TomyTutor,
TRS-80 Model 1,Computer,TRS-80,
TSConf,Computer,TSConf,
Vector-06C,Computer,VECTOR06,
VT52,Computer,VT52,
VTech Laser 310,Computer,Laser,
ZX Spectrum,Computer,Spectrum,
ZX Spectrum Next,Computer,ZXNext,
ZX81,Computer,ZX81,True
Adventure Vision,Console,AVision,
Atari 5200,Console,ATARI5200,
Atari 2600,Console,ATARI7800,True
Atari 7800,Console,ATARI7800,
Atari Lynx,Console,AtariLynx,True
AY-3-8500 (Pong-on-a-chip),Console,AY-3-8500,
Bally Astrocade,Console,Astrocade,
Bandai Super Vision 8000,Console,SuperVision8000,
BBC Bridge Companion,Console,BBCBridgeCompanion,
Casio PV-1000,Console,Casio_PV-1000,
"ColecoVision, SG-1000",Console,Coleco,
Emerson Arcadia 2001,Console,Arcadia,
Epoch Super Cassette Vision,Console,SCV,
Fairchild Channel F,Console,ChannelF,
Gamate,Console,Gamate,
Game & Watch,Console,GameNWatch,
Game Boy,Console,GAMEBOY,True
Game Boy Color,Console,GAMEBOY,True
Game Boy Advance,Console,GBA,
Intellivision,Console,Intellivision,
Interton VC4000,Console,VC4000,
Magnavox Odyssey²,Console,ODYSSEY2,
Neo Geo MVS/AES,Console,NEOGEO,True
Nintendo 64,Console,N64,True
Nintendo Entertainment System (NES),Console,NES,True
Nichibutsu My Vision,Console,MyVision,
Philips CD-i,Console,CD-i,
PlayStation (PSX),Console,PSX,True
Pokémon Mini,Console,PokemonMini,
Sega 32X,Console,S32X,True
Sega CD/Mega-CD,Console,MegaCD,
Sega Master System,Console,SMS,True
Sega Game Gear,Console,SMS,True
Sega Mega Drive/Genesis,Console,MegaDrive,True
Sega Saturn,Console,Saturn,True
Super Game Boy,Console,SGB,
Super Nintendo Entertainment System (SNES),Console,SNES,True
TurboGrafx-16/PC Engine,Console,TGFX16,True
Vectrex,Console,VECTREX,
VTech CreatiVision,Console,CreatiVision,
Watara SuperVision,Console,SuperVision,
WonderSwan,Console,WonderSwan,